iter	Passed	Remaining
0	103	103541
1	104	52146
2	105	35049
3	106	26471
4	107	21356
5	108	17936
6	109	15510
7	110	13654
8	111	12229
9	111	11078
10	112	10137
11	113	9360
12	114	8698
13	115	8137
14	116	7644
15	117	7215
16	118	6836
17	119	6495
18	119	6190
19	120	5912
20	121	5666
21	122	5448
22	123	5243
23	124	5055
24	125	4880
25	125	4718
26	126	4561
27	127	4423
28	128	4293
29	129	4172
30	129	4060
31	130	3953
32	131	3852
33	132	3756
34	132	3664
35	133	3582
36	134	3506
37	135	3430
38	136	3355
39	136	3285
40	137	3217
41	138	3151
42	138	3090
43	139	3032
44	140	2977
45	140	2923
46	141	2870
47	142	2819
48	143	2775
49	143	2731
50	144	2693
51	145	2653
52	146	2611
53	146	2574
54	147	2535
55	148	2497
56	148	2461
57	149	2426
58	150	2395
59	150	2364
60	151	2333
61	152	2305
62	153	2276
63	153	2247
64	154	2220
65	154	2192
66	155	2172
67	156	2146
68	157	2121
69	158	2099
70	158	2077
71	159	2055
72	160	2034
73	161	2015
74	162	2003
75	163	1989
76	164	1975
77	165	1959
78	166	1944
79	167	1931
80	168	1915
81	169	1899
82	170	1879
83	171	1866
84	171	1850
85	172	1835
86	173	1820
87	174	1805
88	174	1790
89	175	1776
90	176	1763
91	177	1749
92	177	1735
93	178	1721
94	179	1707
95	179	1693
96	180	1679
97	181	1667
98	181	1655
99	182	1642
100	183	1631
101	183	1619
102	184	1607
103	185	1594
104	185	1583
105	186	1572
106	187	1562
107	187	1552
108	188	1541
109	189	1530
110	189	1520
111	190	1508
112	190	1498
113	191	1488
114	191	1477
115	192	1467
116	193	1457
117	193	1448
118	194	1439
119	195	1430
120	195	1421
121	196	1410
122	196	1401
123	197	1394
124	197	1385
125	198	1376
126	198	1367
127	199	1359
128	200	1351
129	200	1343
130	201	1336
131	202	1328
132	202	1321
133	203	1312
134	203	1305
135	204	1297
136	204	1290
137	205	1283
138	206	1277
139	206	1270
140	207	1263
141	207	1255
142	208	1248
143	208	1241
144	209	1234
145	209	1227
146	210	1221
147	211	1215
148	211	1210
149	212	1206
150	213	1200
151	214	1195
152	214	1190
153	215	1184
154	216	1178
155	216	1172
156	217	1167
157	218	1162
158	218	1157
159	219	1152
160	219	1146
161	220	1140
162	220	1134
163	221	1129
164	222	1124
165	222	1119
166	223	1114
167	224	1110
168	224	1105
169	225	1101
170	226	1096
171	226	1091
172	227	1086
173	227	1081
174	228	1077
175	229	1072
176	229	1067
177	230	1064
178	231	1060
179	231	1056
180	232	1052
181	233	1047
182	233	1043
183	234	1039
184	235	1036
185	235	1032
186	236	1028
187	237	1025
188	238	1022
189	238	1017
190	239	1013
191	239	1009
192	240	1006
193	241	1002
194	241	998
195	242	995
196	243	992
197	244	989
198	245	986
199	245	982
200	246	979
201	246	975
202	247	972
203	248	968
204	248	965
205	249	962
206	250	958
207	250	955
208	251	951
209	251	947
210	252	944
211	253	941
212	253	938
213	254	935
214	255	933
215	256	931
216	257	928
217	257	925
218	258	922
219	259	919
220	259	916
221	260	912
222	261	910
223	261	907
224	262	904
225	263	901
226	263	898
227	264	895
228	265	892
229	265	889
230	266	886
231	267	884
232	267	882
233	268	879
234	269	877
235	270	874
236	270	871
237	271	869
238	272	866
239	272	863
240	273	861
241	274	858
242	275	856
243	275	855
244	276	852
245	277	850
246	277	847
247	278	844
248	279	842
249	280	840
250	280	838
251	281	835
252	282	832
253	282	830
254	283	827
255	284	825
256	285	824
257	285	822
258	286	820
259	287	818
260	288	816
261	288	813
262	289	811
263	290	809
264	290	806
265	291	804
266	292	802
267	293	800
268	294	799
269	294	796
270	295	794
271	296	792
272	296	790
273	297	787
274	298	786
275	298	784
276	299	782
277	300	779
278	300	777
279	301	775
280	302	772
281	302	770
282	303	768
283	304	766
284	304	764
285	305	762
286	306	760
287	306	758
288	307	756
289	308	754
290	308	751
291	309	749
292	309	747
293	310	745
294	311	744
295	312	742
296	312	740
297	313	738
298	314	736
299	314	734
300	315	732
301	315	730
302	316	728
303	317	726
304	317	724
305	318	722
306	319	720
307	319	718
308	320	716
309	321	714
310	321	712
311	322	711
312	323	709
313	323	707
314	324	705
315	324	703
316	325	701
317	325	699
318	326	697
319	327	695
320	328	693
321	328	692
322	329	691
323	330	689
324	330	687
325	331	685
326	332	683
327	332	681
328	333	679
329	333	677
330	334	676
331	335	675
332	336	673
333	337	672
334	337	670
335	338	668
336	339	666
337	339	665
338	340	663
339	341	662
340	341	660
341	342	658
342	342	656
343	343	654
344	343	652
345	344	651
346	345	650
347	346	648
348	346	647
349	347	645
350	348	643
351	348	641
352	349	640
353	349	638
354	350	636
355	351	635
356	351	633
357	352	632
358	353	630
359	354	629
360	354	627
361	355	626
362	355	624
363	356	622
364	356	620
365	357	619
366	357	617
367	359	616
368	360	615
369	360	614
370	361	612
371	362	611
372	362	609
373	363	608
374	363	606
375	364	604
376	365	603
377	365	602
378	366	600
379	367	598
380	367	597
381	368	595
382	368	594
383	369	592
384	370	591
385	370	590
386	371	588
387	372	587
388	373	586
389	373	584
390	374	583
391	374	581
392	375	579
393	376	578
394	376	576
395	377	576
396	378	574
397	379	573
398	379	572
399	380	570
400	381	569
401	381	567
402	382	566
403	382	564
404	383	563
405	384	562
406	385	561
407	385	560
408	386	558
409	387	557
410	387	555
411	388	554
412	389	552
413	389	551
414	390	550
415	390	548
416	391	547
417	392	546
418	392	544
419	393	543
420	394	541
421	394	540
422	395	539
423	396	538
424	397	537
425	397	535
426	398	534
427	398	533
428	399	531
429	399	530
430	400	528
431	401	527
432	401	526
433	402	525
434	403	524
435	404	522
436	404	521
437	405	519
438	405	518
439	406	517
440	406	515
441	407	514
442	408	513
443	409	512
444	409	510
445	410	509
446	410	508
447	411	506
448	412	505
449	412	504
450	413	503
451	414	502
452	414	501
453	415	499
454	416	498
455	416	497
456	417	495
457	417	494
458	418	493
459	418	491
460	419	490
461	420	489
462	420	488
463	421	487
464	422	486
465	423	484
466	423	483
467	424	482
468	425	481
469	425	480
470	426	479
471	427	477
472	427	476
473	428	475
474	428	473
475	429	472
476	430	471
477	431	470
478	431	469
479	432	468
480	433	467
481	433	466
482	434	464
483	434	463
484	435	462
485	436	461
486	436	460
487	437	458
488	438	457
489	438	456
490	439	455
491	440	454
492	441	453
493	441	452
494	442	451
495	443	450
496	443	449
497	444	447
498	445	447
499	445	445
500	446	444
501	447	443
502	447	442
503	448	441
504	449	440
505	449	439
506	450	437
507	451	436
508	451	435
509	452	434
510	453	433
511	453	432
512	454	431
513	455	430
514	455	429
515	456	428
516	457	427
517	457	426
518	458	424
519	459	423
520	459	422
521	460	421
522	461	420
523	461	419
524	462	418
525	463	417
526	463	416
527	464	415
528	465	414
529	466	413
530	466	412
531	467	411
532	467	410
533	468	408
534	469	407
535	470	407
536	471	406
537	471	405
538	472	404
539	473	403
540	473	401
541	474	400
542	474	399
543	475	398
544	476	397
545	477	396
546	477	395
547	478	394
548	478	393
549	479	392
550	480	391
551	480	390
552	481	389
553	482	388
554	482	387
555	483	386
556	484	385
557	485	384
558	485	383
559	486	382
560	486	381
561	487	379
562	488	378
563	488	377
564	489	376
565	490	375
566	490	374
567	491	373
568	492	372
569	492	371
570	493	370
571	494	369
572	494	368
573	495	367
574	496	366
575	497	366
576	497	365
577	498	363
578	499	362
579	499	362
580	500	361
581	501	360
582	502	359
583	503	358
584	503	357
585	504	356
586	504	355
587	505	354
588	505	353
589	506	352
590	507	351
591	507	350
592	508	349
593	509	348
594	510	347
595	510	346
596	511	345
597	512	344
598	513	343
599	513	342
600	514	341
601	514	340
602	515	339
603	516	338
604	517	337
605	517	336
606	518	335
607	519	334
608	519	333
609	520	332
610	521	331
611	522	330
612	522	330
613	523	329
614	524	328
615	524	327
616	525	326
617	526	325
618	526	324
619	527	323
620	527	322
621	528	321
622	528	320
623	529	319
624	530	318
625	530	317
626	531	316
627	532	315
628	532	314
629	533	313
630	533	312
631	534	311
632	535	310
633	536	309
634	536	308
635	537	307
636	537	306
637	538	305
638	539	304
639	540	303
640	540	302
641	541	301
642	542	300
643	542	300
644	543	299
645	544	298
646	544	297
647	545	296
648	546	295
649	547	294
650	547	293
651	548	292
652	548	291
653	549	290
654	550	289
655	550	288
656	551	287
657	552	287
658	553	286
659	553	285
660	554	284
661	554	283
662	555	282
663	556	281
664	556	280
665	557	279
666	558	278
667	558	277
668	559	276
669	560	275
670	560	274
671	561	274
672	562	273
673	563	272
674	563	271
675	564	270
676	564	269
677	565	268
678	565	267
679	566	266
680	567	265
681	568	264
682	568	263
683	569	263
684	570	262
685	570	261
686	571	260
687	571	259
688	572	258
689	572	257
690	573	256
691	574	255
692	575	254
693	575	253
694	576	253
695	577	252
696	578	251
697	579	250
698	579	249
699	580	248
700	581	248
701	582	247
702	583	246
703	583	245
704	584	244
705	584	243
706	585	242
707	586	241
708	587	241
709	588	240
710	588	239
711	589	238
712	590	237
713	591	236
714	591	235
715	592	234
716	593	234
717	593	233
718	594	232
719	595	231
720	595	230
721	596	229
722	597	228
723	598	228
724	599	227
725	600	226
726	600	225
727	601	224
728	601	223
729	602	222
730	603	221
731	603	221
732	604	220
733	605	219
734	605	218
735	606	217
736	607	216
737	607	215
738	608	214
739	608	213
740	609	212
741	609	212
742	610	211
743	611	210
744	611	209
745	612	208
746	612	207
747	613	206
748	614	205
749	614	204
750	615	203
751	615	203
752	616	202
753	616	201
754	617	200
755	618	199
756	619	198
757	619	197
758	620	197
759	621	196
760	621	195
761	622	194
762	623	193
763	624	192
764	624	191
765	625	191
766	625	190
767	626	189
768	627	188
769	627	187
770	628	186
771	629	185
772	629	184
773	630	184
774	631	183
775	631	182
776	632	181
777	632	180
778	633	179
779	634	178
780	634	177
781	635	177
782	636	176
783	636	175
784	637	174
785	638	173
786	638	172
787	639	172
788	639	171
789	640	170
790	641	169
791	642	168
792	642	167
793	643	166
794	644	166
795	644	165
796	645	164
797	646	163
798	647	162
799	647	161
800	648	161
801	649	160
802	649	159
803	650	158
804	651	157
805	651	156
806	652	156
807	654	155
808	654	154
809	655	153
810	656	153
811	657	152
812	658	151
813	659	150
814	659	149
815	660	148
816	661	148
817	661	147
818	662	146
